Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
DownTeeArrow,DownTeeArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↧"", ""y""}]}}","Row[{""DownTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↧y,"DownTeeArrow[x, y]",False,
LeftDownTeeVector,LeftDownTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥡"", ""y""}]}}","Row[{""LeftDownTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥡y,"LeftDownTeeVector[x, y]",False,
LeftDownVector,LeftDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⇃"", ""y""}]}}","Row[{""LeftDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇃y,"LeftDownVector[x, y]",False,
LeftDownVectorBar,LeftDownVectorBar,,740,580,,21.5,650,"{{Row[{""x"", ""⥙"", ""y""}]}}","Row[{""LeftDownVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥙y,"LeftDownVectorBar[x, y]",False,
LeftUpDownVector,LeftUpDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥑"", ""y""}]}}","Row[{""LeftUpDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥑y,"LeftUpDownVector[x, y]",False,
LeftUpTeeVector,LeftUpTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥠"", ""y""}]}}","Row[{""LeftUpTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥠y,"LeftUpTeeVector[x, y]",False,
LeftUpVector,LeftUpVector,,740,580,,21.5,650,"{{Row[{""x"", ""↿"", ""y""}]}}","Row[{""LeftUpVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↿y,"LeftUpVector[x, y]",False,
LeftUpVectorBar,LeftUpVectorBar,,740,580,,21.5,650,"{{Row[{""x"", ""⥘"", ""y""}]}}","Row[{""LeftUpVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥘y,"LeftUpVectorBar[x, y]",False,
LongLeftArrow,LongLeftArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟵"", ""y""}]}}","Row[{""LongLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟵y,"LongLeftArrow[x, y]",False,
LongLeftRightArrow,LongLeftRightArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟷"", ""y""}]}}","Row[{""LongLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟷y,"LongLeftRightArrow[x, y]",False,
LongRightArrow,LongRightArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⟶"", ""y""}]}}","Row[{""LongRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⟶y,"LongRightArrow[x, y]",False,
ReverseUpEquilibrium,ReverseUpEquilibrium,,740,580,,21.5,650,"{{Row[{""x"", ""⥯"", ""y""}]}}","Row[{""ReverseUpEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥯y,"ReverseUpEquilibrium[x, y]",False,
RightDownTeeVector,RightDownTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥝"", ""y""}]}}","Row[{""RightDownTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥝y,"RightDownTeeVector[x, y]",False,
RightDownVector,RightDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⇂"", ""y""}]}}","Row[{""RightDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇂y,"RightDownVector[x, y]",False,
RightDownVectorBar,RightDownVectorBar,,740,580,,21.5,650,"{{Row[{""x"", ""⥕"", ""y""}]}}","Row[{""RightDownVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥕y,"RightDownVectorBar[x, y]",False,
RightUpDownVector,RightUpDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥏"", ""y""}]}}","Row[{""RightUpDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥏y,"RightUpDownVector[x, y]",False,
RightUpTeeVector,RightUpTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥜"", ""y""}]}}","Row[{""RightUpTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥜y,"RightUpTeeVector[x, y]",False,
RightUpVector,RightUpVector,,740,580,,21.5,650,"{{Row[{""x"", ""↾"", ""y""}]}}","Row[{""RightUpVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↾y,"RightUpVector[x, y]",False,
RightUpVectorBar,RightUpVectorBar,,740,580,,21.5,650,"{{Row[{""x"", ""⥔"", ""y""}]}}","Row[{""RightUpVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥔y,"RightUpVectorBar[x, y]",False,
ShortDownArrow,ShortDownArrow,,740,580,,21.5,650,"{{Row[{""x"", """", ""y""}]}}","Row[{""ShortDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"ShortDownArrow[x, y]",False,
ShortUpArrow,ShortUpArrow,,740,580,,21.5,650,"{{Row[{""x"", """", ""y""}]}}","Row[{""ShortUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"ShortUpArrow[x, y]",False,
UpArrow,UpArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↑"", ""y""}]}}","Row[{""UpArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↑y,"UpArrow[x, y]",False,
UpArrowBar,UpArrowBar,,740,580,,21.5,650,"{{Row[{""x"", ""⤒"", ""y""}]}}","Row[{""UpArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⤒y,"UpArrowBar[x, y]",False,
UpArrowDownArrow,UpArrowDownArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⇅"", ""y""}]}}","Row[{""UpArrowDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇅y,"UpArrowDownArrow[x, y]",False,
UpDownArrow,UpDownArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↕"", ""y""}]}}","Row[{""UpDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↕y,"UpDownArrow[x, y]",False,
UpEquilibrium,UpEquilibrium,,740,580,,21.5,650,"{{Row[{""x"", ""⥮"", ""y""}]}}","Row[{""UpEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥮y,"UpEquilibrium[x, y]",False,
UpTeeArrow,UpTeeArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↥"", ""y""}]}}","Row[{""UpTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↥y,"UpTeeArrow[x, y]",False,
Sqrt,Sqrt,,730,570,,22,640,"{{Row[{""√"", ""expr""}]}}","Row[{""Sqrt"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,√expr,Sqrt[expr],True,
RadicalBox,RadicalBox,,730,570,,22,640,"{{Row[{""\@"", ""expr1"", ""\%"", ""expr2""}]}}","Row[{""RadicalBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Prefix,Right,\@expr1\%expr2,,True,
SqrtBox,Sqrt,,730,570,,22,640,"{{Row[{""\@"", ""expr""}]}}","Row[{""SqrtBox"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,\@expr,,True,
CapitalDifferentialD,CapitalDifferentialD,,720,560,3,24,630,"{{Row[{"""", ""x""}]}}","Row[{""CapitalDifferentialD"", ""["", ""x"", ""]""}]",Unary,Prefix,Right,x,CapitalDifferentialD[x],False,
DifferentialD,DifferentialD,,720,560,3,24,630,"{{Row[{"""", ""x""}]}}","Row[{""DifferentialD"", ""["", ""x"", ""]""}]",Unary,Prefix,Right,x,DifferentialD[x],False,
DifferenceDelta,DifferenceDelta,,710,550,2,,620,"{Row[{"""", ""expr""}]}","Row[{""DifferenceDelta"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
DiscreteRatio,DiscreteRatio,,710,550,2,,620,"{Row[{"""", ""expr""}]}","Row[{""DiscreteRatio"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
DiscreteShift,DiscreteShift,,710,550,2,,620,"{Row[{"""", ""expr""}]}","Row[{""DiscreteShift"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
Laplacian,Laplacian,,710,550,2,,620,"{Row[{""∆"", ""expr""}]}","Row[{""Laplacian"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
PartialD,PartialD,,710,550,2,,620,"{Row[{""∂"", ""expr""}]}","Row[{""PartialD"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
Del,Del,,710,550,2,24,620,"{{Row[{""∇"", ""expr""}]}}","Row[{""Del"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,∇expr,Del[expr],False,
Gradient,Gradient,,700,,1,,615,"{Row[{"""", ""expr""}]}","Row[{""Gradient"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
Square,Square,,690,540,,24.5,610,"{{Row[{"""", ""expr""}]}}","Row[{""Square"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,Square[expr],False,
Piecewise,Piecewise,,680,,1,,600,"{Row[{"""", ""expr""}]}","Row[{""Piecewise"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
SmallCircle,SmallCircle,,670,530,,25,607,"{{Row[{""expr1"", ""∘"", ""expr2""}]}}","Row[{""SmallCircle"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∘expr2,"SmallCircle[expr1, expr2]",False,
CircleDot,CircleDot,,660,520,,26,605,"{{Row[{""expr1"", ""⊙"", ""expr2""}]}}","Row[{""CircleDot"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⊙expr2,"CircleDot[expr1, expr2]",False,
NonCommutativeMultiply,NonCommutativeMultiply,,650,510,,27,604,"{{Row[{""expr1"", ""**"", ""expr2""}]}}","Row[{""NonCommutativeMultiply"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1**expr2,"NonCommutativeMultiply[expr1, expr2]",True,
Cross,Cross,,640,500,,28,603,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""Cross"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"Cross[expr1, expr2]",True,
Dot,Dot,,630,490,,29,603,"{{Row[{""expr1"", ""."", ""expr2""}]}}","Row[{""Dot"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1.expr2,"Dot[expr1, expr2]",True,
TensorWedge,TensorWedge,,620,,4,,603,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""TensorWedge"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"TensorWedge[expr1, expr2]",True,
TensorProduct,TensorProduct,,610,,3,,602,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""TensorProduct"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"TensorProduct[expr1, expr2]",True,
PermutationProduct,PermutationProduct,,600,,2,,605,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""PermutationProduct"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"PermutationProduct[expr1, expr2]",True,
Curl,Curl,,590,,1,,601,"{Row[{"""", ""expr""}]}","Row[{""Curl"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
Divergence,Divergence,,590,,1,,601,"{Row[{"""", ""expr""}]}","Row[{""Divergence"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
UnaryMinusPlus,MinusPlus,,580,480,,30,600,"{{Row[{""∓"", ""expr""}]}}","Row[{""MinusPlus"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,∓expr,MinusPlus[expr],False,
UnaryPlusMinus,PlusMinus,,580,480,,30,600,"{{Row[{""±"", ""expr""}]}}","Row[{""PlusMinus"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,±expr,PlusMinus[expr],False,
Minus,Minus,,580,480,,30,600,"{Row[{""-"",""expr""}],Row[{""−"",""expr""}]}","Row[{""Minus"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,-expr,"Times[-1, expr]",True,Operator Notations includes usages with invisible unicode characters.
UnaryPlus,Plus,,580,480,,30,600,"{{Row[{""+"", ""expr""}]}}","Row[{""Plus"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,+expr,Plus[expr],True,Converts to expr on input.
Divides,Divides,,570,470,,31,590,"{{Row[{""expr1"", ""∣"", ""expr2""}]}}","Row[{""Divides"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∣expr2,"Divisible[expr2, expr1]",True,
PartialFractionBox,PartialFractionBox,,570,470,,31,590,"{Row[{""expr"", """"}]}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
FractionBox,FractionBox,,570,470,,31,590,"{{Row[{""expr1"", ""\/"", ""expr2""}]}}","Row[{""FractionBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1\/expr2,,True,
Divide,Divide,,570,470,,31,590,"{{Row[{""expr1"", ""/"", ""expr2""}], Row[{""expr1"", ""÷"", ""expr2""}], Row[{""expr1"", ""∕"", ""expr2""}]}}","Row[{""Divide"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1/expr2,"Times[expr1, Power[expr2, -1]]",True,
Backslash,Backslash,,560,460,,32,580,"{{Row[{""expr1"", ""∖"", ""expr2""}]}}","Row[{""Backslash"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∖expr2,"Backslash[expr1, expr2]",False,
Diamond,Diamond,,550,450,,33,570,"{{Row[{""expr1"", ""⋄"", ""expr2""}]}}","Row[{""Diamond"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⋄expr2,"Diamond[expr1, expr2]",False,
Wedge,Wedge,,540,440,,34,560,"{{Row[{""expr1"", ""⋀"", ""expr2""}]}}","Row[{""Wedge"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⋀expr2,"Wedge[expr1, expr2]",False,
Vee,Vee,,530,430,,35,550,"{{Row[{""x"", ""⋁"", ""y""}]}}","Row[{""Vee"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋁y,"Vee[x, y]",False,
CircleTimes,CircleTimes,,520,420,,36,540,"{{Row[{""expr1"", ""⊗"", ""expr2""}]}}","Row[{""CircleTimes"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⊗expr2,"CircleTimes[expr1, expr2]",False,
CenterDot,CenterDot,,510,410,,37,530,"{{Row[{""x"", ""·"", ""y""}]}}","Row[{""CenterDot"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x·y,"CenterDot[x, y]",False,
Times,Times,,500,400,,38,520,"{{Row[{""expr1"", ""*"", ""expr2""}], Row[{""expr1"", ""expr2""}], Row[{""expr1"", ""×"", ""expr2""}], Row[{""expr1"", ""⁢"", ""expr2""}]}}","Row[{""Times"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Nullary,None,None,expr1*expr2,"Times[expr1, expr2]",True,Operator Notations includes usages with invisible unicode characters.
Star,Star,,490,390,,39,510,"{{Row[{""expr1"", ""⋆"", ""expr2""}]}}","Row[{""Star"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⋆expr2,"Star[expr1, expr2]",False,
Product,Product,,480,380,4,,500,"{Row[{""∏"", ""expr""}]}","Row[{""Product"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
ContinuedFractionK,ContinuedFractionK,,480,380,4,,500,"{Row[{"""", ""expr""}]}","Row[{""ContinuedFractionK"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,True,Usage and Parse may not be semantically correct.
VerticalTilde,VerticalTilde,,470,370,3,41,490,"{{Row[{""expr1"", ""≀"", ""expr2""}]}}","Row[{""VerticalTilde"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1≀expr2,"VerticalTilde[expr1, expr2]",False,
Coproduct,Coproduct,,460,360,2,42,500,"{{Row[{""expr1"", ""∐"", ""expr2""}]}}","Row[{""Coproduct"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∐expr2,"Coproduct[expr1, expr2]",False,
Cap,Cap,,450,350,,42.5,470,"{{Row[{""expr1"", ""⌢"", ""expr2""}]}}","Row[{""Cap"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⌢expr2,"Cap[expr1, expr2]",False,
Cup,Cup,,440,340,,43,460,"{{Row[{""expr1"", ""⌣"", ""expr2""}]}}","Row[{""Cup"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⌣expr2,"Cup[expr1, expr2]",False,
CircleMinus,CircleMinus,,430,330,,44,450,"{{Row[{""expr1"", ""⊖"", ""expr2""}]}}","Row[{""CircleMinus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1⊖expr2,"CircleMinus[expr1, expr2]",False,
CirclePlus,CirclePlus,,430,330,,44,450,"{{Row[{""expr1"", ""⊕"", ""expr2""}]}}","Row[{""CirclePlus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⊕expr2,"CirclePlus[expr1, expr2]",False,
Sum,Sum,,420,325,1,,440,"{Row[{""∑"", ""expr""}]}","Row[{""Sum"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,∑expr,Sum[expr],True,Usage and Parse may not be semantically correct.
Integrate,Integrate,,420,325,1,44.5,455,"{{Row[{""∫"", ""expr1"", """", ""expr2""}]}}","Row[{""Integrate"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Prefix,Right,∫expr1expr2,"Integrate[expr1, expr2]",True,
ClockwiseContourIntegral,ClockwiseContourIntegral,,420,325,1,,455,"{Row[{""∲"", ""expr1"", """", ""expr2""}]}","Row[{""ClockwiseContourIntegral"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Unary,Prefix,Right,∲expr1expr2,"Integrate[expr1, expr2]",True,Usage and Parse may not be semantically correct.
ContourIntegral,ContourIntegral,,420,325,1,,455,"{Row[{""∮"", ""expr1"", """", ""expr2""}]}","Row[{""ContourIntegral"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Unary,Prefix,Right,∮expr1expr2,"Integrate[expr1, expr2]",True,Usage and Parse may not be semantically correct.
CounterClockwiseContourIntegral,CounterClockwiseContourIntegral,,420,325,1,,455,"{Row[{""∳"", ""expr1"", """", ""expr2""}]}","Row[{""CounterClockwiseContourIntegral"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Unary,Prefix,Right,∳expr1expr2,"Integrate[expr1, expr2]",True,Usage and Parse may not be semantically correct.
DoubleContourIntegral,DoubleContourIntegral,,420,325,1,,455,"{Row[{""∯"", ""expr1"", """", ""expr2""}]}","Row[{""DoubleContourIntegral"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Unary,Prefix,Right,∯expr1expr2,"Integrate[expr1, expr2]",True,Usage and Parse may not be semantically correct.
ExpectationE,ExpectationE,,420,325,1,,455,"{Row[{"""", ""expr""}]}","Row[{""ExpectationE"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,,True,Usage and Parse may not be semantically correct.
ProbabilityPr,ProbabilityPr,,420,325,1,,455,"{Row[{"""", ""expr""}]}","Row[{""ProbabilityPr"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,,True,Usage and Parse may not be semantically correct.
Limit,Limit,,410,320,,,440,"{Row[{"""", ""expr""}]}","Row[{""Limit"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,,True,Usage and Parse may not be semantically correct.
MaxLimit,MaxLimit,,410,320,,,440,"{Row[{"""", ""expr""}]}","Row[{""MaxLimit"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,,True,Usage and Parse may not be semantically correct.
MinLimit,MinLimit,,410,320,,,440,"{Row[{"""", ""expr""}]}","Row[{""MinLimit"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,expr,,True,Usage and Parse may not be semantically correct.
MinusPlus,MinusPlus,,400,310,,46,430,"{{Row[{""expr1"", ""∓"", ""expr2""}]}}","Row[{""MinusPlus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1∓expr2,"MinusPlus[expr1, expr2]",False,
Plus,Plus,,400,310,,46,430,"{{Row[{""expr1"", ""+"", ""expr2""}], Row[{""expr1"", """", ""expr2""}]}}","Row[{""Plus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1+expr2,"Plus[expr1, expr2]",True,Operator Notations includes usages with invisible unicode characters.
PlusMinus,PlusMinus,,400,310,,46,430,"{{Row[{""expr1"", ""±"", ""expr2""}]}}","Row[{""PlusMinus"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1±expr2,"PlusMinus[expr1, expr2]",False,
Subtract,Subtract,,400,310,,46,430,"{{Row[{""expr1"", ""-"", ""expr2""}], Row[{""expr1"", ""−"", ""expr2""}]}}","Row[{""Subtract"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Left,expr1-expr2,"Plus[expr1, Times[-1, expr2]]",True,Operator Notations includes usages with invisible unicode characters.
Intersection,Intersection,,390,305,,47,420,"{{Row[{""expr1"", ""⋂"", ""expr2""}]}}","Row[{""Intersection"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⋂expr2,"Intersection[expr1, expr2]",True,
Span,Span,X,390,305,,47,420,"{{Row[{""i"", "";;"", ""j"", "";;"", ""k""}]}}","Row[{""Span"", ""["", ""i"", "","", ""j"", "","", ""k"", ""]""}]",Ternary,Infix,Non,i;;j;;k,"Span[i, j, k]",True,
SquareIntersection,SquareIntersection,,390,305,,47,420,"{{Row[{""x"", ""⊓"", ""y""}]}}","Row[{""SquareIntersection"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊓y,"SquareIntersection[x, y]",False,
SquareUnion,SquareUnion,,380,300,,48,410,"{{Row[{""x"", ""⊔"", ""y""}]}}","Row[{""SquareUnion"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊔y,"SquareUnion[x, y]",False,
Union,Union,,380,300,,48,410,"{{Row[{""expr1"", ""⋃"", ""expr2""}]}}","Row[{""Union"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1⋃expr2,"Union[expr1, expr2]",True,
UnionPlus,UnionPlus,,380,300,,48,410,"{{Row[{""x"", ""⊎"", ""y""}]}}","Row[{""UnionPlus"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊎y,"UnionPlus[x, y]",False,
DirectedEdge,DirectedEdge,,370,295,,49.4,395,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""DirectedEdge"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"DirectedEdge[expr1, expr2]",True,
UndirectedEdge,UndirectedEdge,,370,295,,49.4,395,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""UndirectedEdge"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"UndirectedEdge[expr1, expr2]",True,
Congruent,Congruent,,360,290,,49.5,390,"{{Row[{""x"", ""≡"", ""y""}]}}","Row[{""Congruent"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≡y,"Congruent[x, y]",False,
CupCap,CupCap,,360,290,,49.5,390,"{{Row[{""x"", ""≍"", ""y""}]}}","Row[{""CupCap"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≍y,"CupCap[x, y]",False,
