"∀","ForAll","FOR ALL","($fa$   $&ForAll;$   $\forall$)","Prefix",350,"None","","0x2200",8704,""
"⌢","Cap","FROWN","($&frown;$   $\frown$)","Infix",470,"None","","0x2322",8994,""
"⌣","Cup","SMILE","($&smile;$   $\smile$)","Infix",460,"None","","0x2323",8995,""
"∐","Coproduct","N-ARY COPRODUCT","($coprod$   $&Coproduct;$   $\amalg$)","Infix",500,"None","","0x2210",8720,""
"∫","Integral","INTEGRAL","($int$   $&Integral;$   $\int$   $\intop$)","LargeOp:Prefix",455,"None","","0x222B",8747,""
"∮","ContourIntegral","CONTOUR INTEGRAL","($cint$   $&ContourIntegral;$   $\oint$)","LargeOp:Prefix",455,"None","","0x222E",8750,""
"∯","DoubleContourIntegral","SURFACE INTEGRAL","($&DoubleContourIntegral;$)","LargeOp:Prefix",455,"None","","0x222F",8751,""
"∳","CounterClockwiseContourIntegral","ANTICLOCKWISE CONTOUR INTEGRAL","($cccint$   $&CounterClockwiseContourIntegral;$)","LargeOp:Prefix",455,"None","","0x2233",8755,""
"∲","ClockwiseContourIntegral","CLOCKWISE CONTOUR INTEGRAL","($ccint$   $&ClockwiseContourIntegral;$)","LargeOp:Prefix",455,"None","","0x2232",8754,""
"∑","Sum","N-ARY SUMMATION","($sum$   $&Sum;$   $\sum$)","LargeOp:Prefix",440,"None","","0x2211",8721,""
"∏","Product","N-ARY PRODUCT","($prod$   $&Product;$   $\prod$)","LargeOp:Prefix",500,"None","","0x220F",8719,""
"","ContinuedFractionK","","()","LargeOp:Prefix",500,"None","","0xF3D9",62425,""
"⋂","Intersection","N-ARY INTERSECTION","($inter$   $&Intersection;$   $\cap$   $\bigcap$)","Infix",420,"None","","0x22C2",8898,""
"⋂","N-aryIntersection","N-ARY INTERSECTION","()","LargeOp:Prefix",500,"None","","0x22C2",8898,""
"⋃","Union","N-ARY UNION","($un$   $&Union;$   $\cup$   $\bigcup$)","Infix",410,"None","","0x22C3",8899,""
"⋃","N-aryUnion","N-ARY UNION","()","LargeOp:Prefix",440,"None","","0x22C3",8899,""
"⊎","UnionPlus","MULTISET UNION","($&UnionPlus;$   $\biguplus$   $\uplus$)","Infix",410,"None","","0x228E",8846,""
"⊎","MultisetUnion","MULTISET UNION","()","LargeOp:Prefix",440,"None","","0x228E",8846,""
"⊓","SquareIntersection","SQUARE CAP","($&SquareIntersection;$   $\sqcap$)","Infix",420,"None","","0x2293",8851,""
"⊔","SquareUnion","SQUARE CUP","($&SquareUnion;$   $\sqcup$)","Infix",410,"None","","0x2294",8852,""
"⋀","Wedge","N-ARY LOGICAL AND","($^$   $&Wedge;$   $\wedge$)","Infix",560,"None","","0x22C0",8896,""
"⋀","N-aryLogicalAnd","N-ARY LOGICAL AND","()","LargeOp:Prefix",500,"None","","0x22C0",8896,""
"∧","And","LOGICAL AND","($and$   $&&$   $&and;$   $\land$)","Infix",330,"None","","0x2227",8743,""
"⊼","Nand","NAND","($nand$   $!&&$   $&barwed;$)","Infix",330,"None","","0x22BC",8892,""
"⋁","Vee","N-ARY LOGICAL OR","($v$   $&Vee;$   $\vee$)","Infix",550,"None","","0x22C1",8897,""
"⋁","N-aryLogicalOr","N-ARY LOGICAL OR","()","LargeOp:Prefix",440,"None","","0x22C1",8897,""
"∨","Or","LOGICAL OR","($or$   $||$   $&or;$   $\lor$)","Infix",320,"None","","0x2228",8744,""
"⊽","Nor","NOR","($nor$   $&barvee;$)","Infix",320,"None","","0x22BD",8893,""
"⊻","Xor","XOR","($xor$   $&veebar;$)","Infix",325,"None","","0x22BB",8891,""
"","Xnor","","($xnor$)","Infix",325,"None","","0xF4A2",62626,""
"","DiscreteShift","","($shift$)","Prefix",620,"None","","0xF4A3",62627,""
"","DifferenceDelta","","($diffd$)","Prefix",620,"None","","0xF4A4",62628,""
"","DiscreteRatio","","($dratio$)","Prefix",620,"None","","0xF4A5",62629,""
"∂","PartialD","PARTIAL DIFFERENTIAL","($pd$   $&PartialD;$   $\partial$)","Prefix",620,"None","","0x2202",8706,""
"","DifferentialD","","($dd$   $&dd;$)","Prefix",630,"None","","0xF74C",63308,""
"","CapitalDifferentialD","","($DD$   $&CapitalDifferentialD;$)","Prefix",630,"None","","0xF74B",63307,""
"","Gradient","","($cgrad$)","Prefix",615,"Right","","0xF3D6",62422,""
"→","RightArrow","RIGHTWARDS ARROW","($ ->$   $&RightArrow;$   $\rightarrow$   $\to$)","Infix",380,"None","","0x2192",8594,""
"←","LeftArrow","LEFTWARDS ARROW","($<-$   $&LeftArrow;$   $\leftarrow$   $\gets$)","Infix",380,"None","","0x2190",8592,""
"↑","UpArrow","UPWARDS ARROW","($&UpArrow;$   $\uparrow$)","Infix",650,"None","","0x2191",8593,""
"↓","DownArrow","DOWNWARDS ARROW","($&DownArrow;$   $\downarrow$)","Infix",650,"None","","0x2193",8595,""
"↔","LeftRightArrow","LEFT RIGHT ARROW","($<->$   $&LeftRightArrow;$   $\leftrightarrow$)","Infix",380,"None","","0x2194",8596,""
"↕","UpDownArrow","UP DOWN ARROW","($&UpDownArrow;$   $\updownarrow$)","Infix",650,"None","","0x2195",8597,""
"","ShortRightArrow","","($&ShortRightArrow;$)","Infix",380,"None","","0xF525",62757,""
"","ShortLeftArrow","","($&ShortLeftArrow;$)","Infix",380,"None","","0xF526",62758,""
"","ShortUpArrow","","($&ShortUpArrow;$)","Infix",650,"None","","0xF52A",62762,""
"","ShortDownArrow","","($&ShortDownArrow;$)","Infix",650,"None","","0xF52B",62763,""
"","InlinePart","","($@>$)","Infix",763,"None","","0xF51E",62750,""
"","RuleDelayed","","($:>$   $&RuleDelayed;$)","Infix",250,"Right","","0xF51F",62751,""
"","Rule","","($->$)","Infix",250,"Right","","0xF522",62754,""
"⇒","DoubleRightArrow","RIGHTWARDS DOUBLE ARROW","($ =>$   $&DoubleRightArrow;$   $\Rightarrow$)","Infix",380,"None","","0x21D2",8658,""
"⇐","DoubleLeftArrow","LEFTWARDS DOUBLE ARROW","($ <=$   $&DoubleLeftArrow;$   $\Leftarrow$)","Infix",380,"None","","0x21D0",8656,""
"⇑","DoubleUpArrow","UPWARDS DOUBLE ARROW","($&DoubleUpArrow;$   $\Uparrow$)","Infix",650,"None","","0x21D1",8657,""
"⇓","DoubleDownArrow","DOWNWARDS DOUBLE ARROW","($&DoubleDownArrow;$   $\Downarrow$)","Infix",650,"None","","0x21D3",8659,""
"⇔","DoubleLeftRightArrow","LEFT RIGHT DOUBLE ARROW","($<=>$   $&DoubleLeftRightArrow;$   $\Leftrightarrow$)","Infix",380,"None","","0x21D4",8660,""
"⇕","DoubleUpDownArrow","UP DOWN DOUBLE ARROW","($&DoubleUpDownArrow;$   $\Updownarrow$)","Infix",650,"None","","0x21D5",8661,""
"⇥","RightArrowBar","RIGHTWARDS ARROW TO BAR","($&RightArrowBar;$)","Infix",380,"None","","0x21E5",8677,""
"⇤","LeftArrowBar","LEFTWARDS ARROW TO BAR","($&LeftArrowBar;$)","Infix",380,"None","","0x21E4",8676,""
"⤒","UpArrowBar","UPWARDS ARROW TO BAR","($&UpArrowBar;$)","Infix",650,"None","","0x2912",10514,""
"⤓","DownArrowBar","DOWNWARDS ARROW TO BAR","($&DownArrowBar;$)","Infix",650,"None","","0x2913",10515,""
"","Function","","($fn$)","Infix",190,"Right","","0xF4A1",62625,""
"↦","RightTeeArrow","RIGHTWARDS ARROW FROM BAR","($&RightTeeArrow;$   $\mapsto$)","Infix",380,"None","","0x21A6",8614,""
"↤","LeftTeeArrow","LEFTWARDS ARROW FROM BAR","($&LeftTeeArrow;$)","Infix",380,"None","","0x21A4",8612,""
"↥","UpTeeArrow","UPWARDS ARROW FROM BAR","($&UpTeeArrow;$)","Infix",650,"None","","0x21A5",8613,""
"↧","DownTeeArrow","DOWNWARDS ARROW FROM BAR","($&DownTeeArrow;$)","Infix",650,"None","","0x21A7",8615,""
"↖","UpperLeftArrow","NORTH WEST ARROW","($&UpperLeftArrow;$   $\nwarrow$)","Infix",380,"None","","0x2196",8598,""
"↗","UpperRightArrow","NORTH EAST ARROW","($&UpperRightArrow;$   $\nearrow$)","Infix",380,"None","","0x2197",8599,""
"↘","LowerRightArrow","SOUTH EAST ARROW","($&LowerRightArrow;$   $\searrow$)","Infix",380,"None","","0x2198",8600,""
"↙","LowerLeftArrow","SOUTH WEST ARROW","($&LowerLeftArrow;$   $\swarrow$)","Infix",380,"None","","0x2199",8601,""
"⟶","LongRightArrow","LONG RIGHTWARDS ARROW","($-->$   $&LongRightArrow;$   $\longrightarrow$)","Infix",650,"None","","0x27F6",10230,""
"⟵","LongLeftArrow","LONG LEFTWARDS ARROW","($<--$   $&LongLeftArrow;$   $\longleftarrow$)","Infix",650,"None","","0x27F5",10229,""
"⟸","DoubleLongLeftArrow","LONG LEFTWARDS DOUBLE ARROW","($<==$   $&DoubleLongLeftArrow;$   $\Longleftarrow$)","Infix",650,"None","","0x27F8",10232,""
"⟹","DoubleLongRightArrow","LONG RIGHTWARDS DOUBLE ARROW","($==>$   $&DoubleLongRightArrow;$   $\Longrightarrow$)","Infix",650,"None","","0x27F9",10233,""
"⟷","LongLeftRightArrow","LONG LEFT RIGHT ARROW","($<-->$   $&LongLeftRightArrow;$   $\longleftrightarrow$)","Infix",650,"None","","0x27F7",10231,""
"⟺","DoubleLongLeftRightArrow","LONG LEFT RIGHT DOUBLE ARROW","($<==>$   $&DoubleLongLeftRightArrow;$   $\Longleftrightarrow$   $\iff$)","Infix",650,"None","","0x27FA",10234,""
"⇄","RightArrowLeftArrow","RIGHTWARDS ARROW OVER LEFTWARDS ARROW","($&RightArrowLeftArrow;$)","Infix",380,"None","","0x21C4",8644,""
"⇆","LeftArrowRightArrow","LEFTWARDS ARROW OVER RIGHTWARDS ARROW","($&LeftArrowRightArrow;$)","Infix",380,"None","","0x21C6",8646,""
"⇅","UpArrowDownArrow","UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW","($&UpArrowDownArrow;$)","Infix",650,"None","","0x21C5",8645,""
"⇵","DownArrowUpArrow","DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW","($&DownArrowUpArrow;$)","Infix",650,"None","","0x21F5",8693,""
"⇀","RightVector","RIGHTWARDS HARPOON WITH BARB UPWARDS","($vec$   $&RightVector;$   $\rightharpoonup$)","Infix",380,"None","","0x21C0",8640,""
"⇁","DownRightVector","RIGHTWARDS HARPOON WITH BARB DOWNWARDS","($&DownRightVector;$)","Infix",380,"None","","0x21C1",8641,""
"↼","LeftVector","LEFTWARDS HARPOON WITH BARB UPWARDS","($&LeftVector;$   $\leftharpoonup$)","Infix",380,"None","","0x21BC",8636,""
"↽","DownLeftVector","LEFTWARDS HARPOON WITH BARB DOWNWARDS","($&DownLeftVector;$)","Infix",380,"None","","0x21BD",8637,""
"↾","RightUpVector","UPWARDS HARPOON WITH BARB RIGHTWARDS","($&RightUpVector;$)","Infix",650,"None","","0x21BE",8638,""
"↿","LeftUpVector","UPWARDS HARPOON WITH BARB LEFTWARDS","($&LeftUpVector;$)","Infix",650,"None","","0x21BF",8639,""
"⇂","RightDownVector","DOWNWARDS HARPOON WITH BARB RIGHTWARDS","($&RightDownVector;$)","Infix",650,"None","","0x21C2",8642,""
"⇃","LeftDownVector","DOWNWARDS HARPOON WITH BARB LEFTWARDS","($&LeftDownVector;$)","Infix",650,"None","","0x21C3",8643,""
"⥎","LeftRightVector","LEFT BARB UP RIGHT BARB UP HARPOON","($&LeftRightVector;$)","Infix",380,"None","","0x294E",10574,""
"⥐","DownLeftRightVector","LEFT BARB DOWN RIGHT BARB DOWN HARPOON","($&DownLeftRightVector;$)","Infix",380,"None","","0x2950",10576,""
"⥏","RightUpDownVector","UP BARB RIGHT DOWN BARB RIGHT HARPOON","($&RightUpDownVector;$)","Infix",650,"None","","0x294F",10575,""
"⥑","LeftUpDownVector","UP BARB LEFT DOWN BARB LEFT HARPOON","($&LeftUpDownVector;$)","Infix",650,"None","","0x2951",10577,""
"⥓","RightVectorBar","RIGHTWARDS HARPOON WITH BARB UP TO BAR","($&RightVectorBar;$)","Infix",380,"None","","0x2953",10579,""
"⥗","DownRightVectorBar","RIGHTWARDS HARPOON WITH BARB DOWN TO BAR","($&DownRightVectorBar;$)","Infix",380,"None","","0x2957",10583,""
"⥒","LeftVectorBar","LEFTWARDS HARPOON WITH BARB UP TO BAR","($&LeftVectorBar;$)","Infix",380,"None","","0x2952",10578,""
"⥖","DownLeftVectorBar","LEFTWARDS HARPOON WITH BARB DOWN TO BAR","($&DownLeftVectorBar;$)","Infix",380,"None","","0x2956",10582,""
"⥔","RightUpVectorBar","UPWARDS HARPOON WITH BARB RIGHT TO BAR","($&RightUpVectorBar;$)","Infix",650,"None","","0x2954",10580,""
"⥘","LeftUpVectorBar","UPWARDS HARPOON WITH BARB LEFT TO BAR","($&LeftUpVectorBar;$)","Infix",650,"None","","0x2958",10584,""
"⥕","RightDownVectorBar","DOWNWARDS HARPOON WITH BARB RIGHT TO BAR","($&RightDownVectorBar;$)","Infix",650,"None","","0x2955",10581,""
"⥙","LeftDownVectorBar","DOWNWARDS HARPOON WITH BARB LEFT TO BAR","($&LeftDownVectorBar;$)","Infix",650,"None","","0x2959",10585,""
"⥛","RightTeeVector","RIGHTWARDS HARPOON WITH BARB UP FROM BAR","($&RightTeeVector;$)","Infix",380,"None","","0x295B",10587,""
"⥟","DownRightTeeVector","RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR","($&DownRightTeeVector;$)","Infix",380,"None","","0x295F",10591,""
"⥚","LeftTeeVector","LEFTWARDS HARPOON WITH BARB UP FROM BAR","($&LeftTeeVector;$)","Infix",380,"None","","0x295A",10586,""
"⥞","DownLeftTeeVector","LEFTWARDS HARPOON WITH BARB DOWN FROM BAR","($&DownLeftTeeVector;$)","Infix",380,"None","","0x295E",10590,""
"⥜","RightUpTeeVector","UPWARDS HARPOON WITH BARB RIGHT FROM BAR","($&RightUpTeeVector;$)","Infix",650,"None","","0x295C",10588,""
"⥠","LeftUpTeeVector","UPWARDS HARPOON WITH BARB LEFT FROM BAR","($&LeftUpTeeVector;$)","Infix",650,"None","","0x2960",10592,""
"⥝","RightDownTeeVector","DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR","($&RightDownTeeVector;$)","Infix",650,"None","","0x295D",10589,""
"⥡","LeftDownTeeVector","DOWNWARDS HARPOON WITH BARB LEFT FROM BAR","($&LeftDownTeeVector;$)","Infix",650,"None","","0x2961",10593,""
"〚","LeftDoubleBracket","LEFT WHITE SQUARE BRACKET","($[[$   $&LeftDoubleBracket;$)","InfixOpen",-10,"None","0x301B","0x301A",12314,""
"〛","RightDoubleBracket","RIGHT WHITE SQUARE BRACKET","($]]$   $&RightDoubleBracket;$)","Close",-10,"None","","0x301B",12315,""
"〈","LeftAngleBracket","LEFT-POINTING ANGLE BRACKET","($<$   $&LeftAngleBracket;$   $\langle$)","Open",-10,"None","0x232A","0x2329",9001,""
"〉","RightAngleBracket","RIGHT-POINTING ANGLE BRACKET","($>$   $&RightAngleBracket;$   $\rangle$)","Close",-10,"None","","0x232A",9002,""
"","LeftAssociation","","($<|$)","Open",-10,"None","0xF114","0xF113",61715,""
"","RightAssociation","","($|>$)","Close",-10,"None","","0xF114",61716,""
"⌊","LeftFloor","LEFT FLOOR","($lf$   $&LeftFloor;$   $\lfloor$)","Open",-10,"None","0x230B","0x230A",8970,""
"⌋","RightFloor","RIGHT FLOOR","($rf$   $&RightFloor;$   $\rfloor$)","Close",-10,"None","","0x230B",8971,""
"⌈","LeftCeiling","LEFT CEILING","($lc$   $&LeftCeiling;$   $\lceil$)","Open",-10,"None","0x2309","0x2308",8968,""
"⌉","RightCeiling","RIGHT CEILING","($rc$   $&RightCeiling;$   $\rceil$)","Close",-10,"None","","0x2309",8969,""
"","LeftBracketingBar","","($l|$   $&LeftBracketingBar;$)","Open",-10,"None","0xF604","0xF603",62979,""
"","RightBracketingBar","","($r|$   $&RightBracketingBar;$)","Close",-10,"None","","0xF604",62980,""
"","LeftDoubleBracketingBar","","($l||$   $&LeftDoubleBracketingBar;$)","Open",-10,"None","0xF606","0xF605",62981,""
"","RightDoubleBracketingBar","","($r||$   $&RightDoubleBracketingBar;$)","Close",-10,"None","","0xF606",62982,""
"","ImplicitPlus","","($+$)","Infix",593,"None","","0xF39E",62366,""
"‘","OpenCurlyQuote","LEFT SINGLE QUOTATION MARK","($['$   $&OpenCurlyQuote;$)","Open",-10,"None","0x2019","0x2018",8216,""
"’","CloseCurlyQuote","RIGHT SINGLE QUOTATION MARK","($]'$   $&CloseCurlyQuote;$)","Close",-10,"None","","0x2019",8217,""
"“","OpenCurlyDoubleQuote","LEFT DOUBLE QUOTATION MARK","($[""$   $&OpenCurlyDoubleQuote;$)","Open",-10,"None","0x201D","0x201C",8220,""
"”","CloseCurlyDoubleQuote","RIGHT DOUBLE QUOTATION MARK","($]""$   $&CloseCurlyDoubleQuote;$)","Close",-10,"None","","0x201D",8221,""
"","InvisiblePrefixScriptBase","","($i-$)","Prefix",800,"None","","0xF3B3",62387,""
"","InvisiblePostfixScriptBase","","($-i$)","Postfix",800,"None","","0xF3B4",62388,""
"","InvisibleApplication","","($@$   $&af;$)","Infix",730,"Right","","0xF76D",63341,""
"","InvisibleComma","","($,$   $&ic;$)","Infix",1,"None","","0xF765",63333,""
"","LeftSkeleton","","($&LeftSkeleton;$)","Open",-10,"None","0xF762","0xF761",63329,""
"","RightSkeleton","","($&RightSkeleton;$)","Close",-10,"None","","0xF762",63330,""
"","AutoLeftMatch","","($\left.$)","Open",-10,"None","0xF3A9","0xF3A8",62376,""
"","AutoRightMatch","","($\right.$)","Close",-10,"None","","0xF3A9",62377,""
"","","","()","Postfix",595,"None","","0xF350",62288,"FractionBox[#1, ""\[Placeholder]""]&"
"","","","()","Postfix",780,"None","","0xF353",62291,"SubscriptBox[#1, ""\[Placeholder]""]&"
"","","","()","Postfix",660,"None","","0xF354",62292,"SuperscriptBox[#1, ""\[Placeholder]""]&"
"","","","()","Postfix",790,"None","","0xF355",62293,"UnderscriptBox[#1, ""\[Placeholder]""]&"
"","","","()","Postfix",790,"None","","0xF356",62294,"OverscriptBox[#1, ""\[Placeholder]""]&"
"","Piecewise","","($pw$   $&piecewise;$)","Prefix",600,"None","","0xF361",62305,""
"","Transpose","","($tr$)","Postfix",695,"None","","0xF3C7",62407,""
"","Conjugate","","($co$   $conj$)","Postfix",695,"None","","0xF3C8",62408,""
"","HermitianConjugate","","($hc$)","Postfix",695,"None","","0xF3CE",62414,""
"","ConjugateTranspose","","($ct$)","Postfix",695,"None","","0xF3C9",62409,""
"","VerticalBar","","($ |$   $&VerticalBar;$   $\mid$   $\vert$)","Infix",390,"None","","0xF3D0",62416,""
"","NotVerticalBar","","($!|$   $&NotVerticalBar;$)","Infix",390,"None","","0xF3D1",62417,""
"","Distributed","","($dist$)","Infix",360,"None","","0xF3D2",62418,""
"","Conditioned","","($cond$)","Infix",305,"None","","0xF3D3",62419,""
"","UndirectedEdge","","($ue$   $o-o$)","Infix",395,"None","","0xF3D4",62420,""
"","DirectedEdge","","($de$   $o->$)","Infix",395,"None","","0xF3D5",62421,""
"","TwoWayRule","","($<-> $)","Infix",255,"Right","","0xF120",61728,""
"（","FullwidthLeftParenthesis","FULLWIDTH LEFT PARENTHESIS","()","Open",-10,"None","0xff09","0xFF08",65288,""
"）","FullwidthRightParenthesis","FULLWIDTH RIGHT PARENTHESIS","()","Close",-10,"None","","0xFF09",65289,""
"［","FullwidthLeftSquareBracket","FULLWIDTH LEFT SQUARE BRACKET","()","Open",-10,"None","0xff3d","0xFF3B",65339,""
"］","FullwidthRightSquareBracket","FULLWIDTH RIGHT SQUARE BRACKET","()","Close",-10,"None","","0xFF3D",65341,""
"｛","FullwidthLeftCurlyBracket","FULLWIDTH LEFT CURLY BRACKET","()","Open",-10,"None","0xff5d","0xFF5B",65371,""
"｝","FullwidthRightCurlyBracket","FULLWIDTH RIGHT CURLY BRACKET","()","Close",-10,"None","","0xFF5D",65373,""
"〈","FullwidthLeftAngleBracket","LEFT ANGLE BRACKET","()","Open",-10,"None","0x3009","0x3008",12296,""
"〉","FullwidthRightAngleBracket","RIGHT ANGLE BRACKET","()","Close",-10,"None","","0x3009",12297,""
"《","LeftDoubleAngleBracket","LEFT DOUBLE ANGLE BRACKET","()","Open",-10,"None","0x300b","0x300A",12298,""
"》","RightDoubleAngleBracket","RIGHT DOUBLE ANGLE BRACKET","()","Close",-10,"None","","0x300B",12299,""
"「","LeftCornerBracket","LEFT CORNER BRACKET","()","Open",-10,"None","0x300d","0x300C",12300,""
"」","RightCornerBracket","RIGHT CORNER BRACKET","()","Close",-10,"None","","0x300D",12301,""
"『","LeftWhiteCornerBracket","LEFT WHITE CORNER BRACKET","()","Open",-10,"None","0x300f","0x300E",12302,""
"』","RightWhiteCornerBracket","RIGHT WHITE CORNER BRACKET","()","Close",-10,"None","","0x300F",12303,""
"【","LeftBlackLenticularBracket","LEFT BLACK LENTICULAR BRACKET","()","Open",-10,"None","0x3011","0x3010",12304,""
"】","RightBlackLenticularBracket","RIGHT BLACK LENTICULAR BRACKET","()","Close",-10,"None","","0x3011",12305,""
"〔","LeftTortoiseShellBracket","LEFT TORTOISE SHELL BRACKET","()","Open",-10,"None","0x3015","0x3014",12308,""
"〕","RightTortoiseShellBracket","RIGHT TORTOISE SHELL BRACKET","()","Close",-10,"None","","0x3015",12309,""
